GENE1,GENE2,WEIGHT
SP1,EP300,0.4827794124860293
SP1,NPM1,0.11052607940382463
SP1,ABL1,0.5315006536736072
SP1,UBE2I,0.10525238075519637
SP1,HDAC1,0.47321449511810443
SP1,PML,0.12328057907337209
SP1,PCDHA4,0.11251131879547802
MDM4,MDM2,0.7495176189994633
MDM4,EP300,0.24453435011372937
MDM4,PCDHA4,0.1008077963135152
MDM2,EP300,0.1828643762015642
MDM2,NPM1,0.10528869473685247
MDM2,ABL1,0.108577472447737
MDM2,HDAC1,0.10204372859420921
MDM2,CDKN1A,0.6830157138550749
MDM2,PML,0.5364403876143462
MDM2,ATM,0.21585623399533485
SMARCC1,EP300,0.1973384274022413
SMARCC1,GNL3,0.4081984946183548
SMARCC1,CDKN2C,0.11249735394905062
SMARCC1,NPM1,0.2847903660209703
SMARCC1,ABL1,0.14781355673673605
SMARCC1,UBE2I,0.10876888353623693
SMARCC1,HDAC1,0.3992433894335708
SMARCC1,BTBD2,0.1023818525894848
SMARCC1,CDKN1A,0.14926262916200606
SMARCC1,PML,0.1895392350210551
SMARCC1,TK1,0.35549626032787784
SMARCC1,ARIH2,0.31844218331307916
SMARCC1,HSPB1,0.11956186618150556
SMARCC1,ATM,0.1090310678474445
EP300,NPM1,0.11931079552107572
EP300,ABL1,0.40979334906749093
EP300,HDAC1,0.16259334447798218
EP300,CDKN1A,0.10846977249832235
EP300,ARIH2,0.13318257701485103
EP300,ATM,0.232032315373575
GNL3,NPM1,0.8527365555124975
GNL3,HDAC1,0.3466042607593774
GNL3,TK1,0.2540845772066016
GNL3,ARIH2,0.21001639083212859
CDKN2C,NPM1,0.16892239181327678
CDKN2C,HDAC1,0.28697716639605786
CDKN2C,TK1,0.5255080054406845
CDKN2C,ATM,0.24603941769847618
NPM1,UBE2I,0.12207105652172386
NPM1,HDAC1,0.7594426079743093
NPM1,PML,0.3386553534722559
NPM1,TK1,0.5163665434590337
NPM1,ARIH2,0.16039515598329357
NPM1,HSPB1,0.2401171726554207
NPM1,ATM,0.2280206401892947
SAT1,CCL18,0.388659332474836
SAT1,KAT5,0.3167972403046195
SAT1,ABL1,0.10849857790659945
SAT1,CDKN1A,0.7286491871610725
SAT1,PML,0.21297610733106248
SAT1,HSPB1,0.2883675821012033
SAT1,ATM,0.12603780914439905
CCL18,CDKN1A,0.2241754046561899
CCL18,PML,0.14148448526554305
